name,seeds,n_seeds,auc_mean,auc_std,acc_mean,acc_std,mcc_mean,mcc_std,delta_auc,delta_acc,delta_mcc
baseline,1337,1,0.513300,0.000000,0.546875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
no_postcnn_transformer,1337,1,0.400000,0.000000,0.468750,0.000000,0.114682,0.000000,0.113300,0.078125,-0.114682
no_tcn,1337,1,0.479803,0.000000,0.437500,0.000000,-0.083283,0.000000,0.033498,0.109375,0.083283
no_engineered_features,1337,1,0.504433,0.000000,0.546875,0.000000,0.000000,0.000000,0.008867,0.000000,0.000000
no_alibi,1337,1,0.514286,0.000000,0.546875,0.000000,0.000000,0.000000,-0.000985,0.000000,0.000000
no_attention_pool,1337,1,0.547783,0.000000,0.531250,0.000000,0.065751,0.000000,-0.034483,0.015625,-0.065751
